,created_on,property_type,place_name,state_name,lat,lon,price,currency,price_aprox_usd,surface_total_in_m2,rooms,expenses,properati_url
57863,2014-04-18,apartment,Colegiales,|Argentina|Capital Federal|Colegiales|,-34.581835999999996,-58.451288,120000.0,USD,120000.0,49.0,2.0,,http://www.properati.com.ar/exlp_venta_departamento_colegiales
57864,2014-04-18,apartment,Lanús Oeste,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús Oeste|,-34.699417,-58.39263100000001,30000.0,USD,30000.0,,2.0,,http://www.properati.com.ar/exlq_venta_departamento_lanus-oeste
57865,2014-04-18,PH,Villa Urquiza,|Argentina|Capital Federal|Villa Urquiza|,-34.565978,-58.494099,128000.0,USD,128000.0,82.0,3.0,,http://www.properati.com.ar/exlr_venta_ph_villa-urquiza
57866,2014-04-18,apartment,Colegiales,|Argentina|Capital Federal|Colegiales|,-34.581835999999996,-58.451288,114622.0,USD,114622.0,49.0,2.0,,http://www.properati.com.ar/exls_venta_departamento_colegiales
57867,2014-04-18,apartment,Colegiales,|Argentina|Capital Federal|Colegiales|,-34.581835999999996,-58.451288,115000.0,USD,115000.0,49.0,2.0,,http://www.properati.com.ar/exlt_venta_departamento_colegiales
57868,2014-04-18,apartment,Lanús Oeste,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús Oeste|,-34.699417,-58.39263100000001,30000.0,USD,30000.0,,2.0,,http://www.properati.com.ar/exlu_venta_departamento_lanus-oeste
57869,2014-04-18,apartment,Colegiales,|Argentina|Capital Federal|Colegiales|,-34.581835999999996,-58.451288,90065.0,USD,90065.0,38.0,1.0,,http://www.properati.com.ar/exlv_venta_departamento_colegiales
57870,2014-04-18,house,Escobar,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|,-34.436391,-58.729625,140000.0,USD,140000.0,100.0,,,http://www.properati.com.ar/exlw_venta_casa_escobar
57871,2014-04-18,apartment,Colegiales,|Argentina|Capital Federal|Colegiales|,-34.581835999999996,-58.451288,152589.0,USD,152589.0,49.0,2.0,,http://www.properati.com.ar/exlx_venta_departamento_colegiales
57872,2014-04-18,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.586421,-58.414061,340000.0,USD,340000.0,148.0,4.0,,http://www.properati.com.ar/exly_venta_departamento_palermo
57873,2014-04-18,house,Escobar,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|,-34.437232,-58.732431000000005,135000.0,USD,135000.0,135.0,,,http://www.properati.com.ar/exlz_venta_casa_escobar
57874,2014-04-18,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.597840000000005,-58.417251,188561.0,USD,188561.0,80.0,3.0,,http://www.properati.com.ar/exm0_venta_departamento_palermo
57875,2014-04-18,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.597840000000005,-58.417251,190968.0,USD,190968.0,80.0,3.0,,http://www.properati.com.ar/exm1_venta_departamento_palermo
57876,2014-04-18,apartment,Boca,|Argentina|Capital Federal|Boca|,-34.634355,-58.368366,140000.0,USD,140000.0,89.0,4.0,,http://www.properati.com.ar/exm2_venta_departamento_boca
57877,2014-04-18,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.597840000000005,-58.417251,194178.0,USD,194178.0,80.0,3.0,,http://www.properati.com.ar/exm3_venta_departamento_palermo
57878,2014-04-18,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.597840000000005,-58.417251,114982.0,USD,114982.0,48.0,2.0,,http://www.properati.com.ar/exm4_venta_departamento_palermo
57879,2014-04-18,house,Escobar,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|,-34.438435,-58.732088,140000.0,USD,140000.0,150.0,,,http://www.properati.com.ar/exm5_venta_casa_escobar
